drug,author,herb_part,bot_name,disease_category,taste,potency,ultimate_taste,inherent_action
Legyam ,Agathiyar ,Root ,Aristolochia bracteolata,Diabetes,Bitter (kumatal),Hot,Spicy ,"Pulukoli,Soothagamundaki,Vepammundaki,Uramaki,Neermalampoki,Udalthetri,Muraivepagatri"
Legyam ,Agathiyar ,Root ,Vetiveria zizanioides ,Diabetes,Sweet,Hot,Sweet ,"Uramaki,Vepammundaki,Esivagatri,Viyarvaiperuki,Siruneerperuki,Rudhuundaki,Vepagatri"
Legyam ,Agathiyar ,Root ,Cocculus hirsutus,Diabetes,"Astringent , Bitter",Hot,Spicy ,"Udalthetri,Yeruelaki,Ulalalatri,kulirchiyundaki"
Legyam ,Agathiyar ,Pattai ,Ficus benghalensis,Diabetes,Astringent,Cold ,Sweet,"Thovarpi,Uramaki,Kamaperuki"
Legyam ,Agathiyar ,Tuber,Amorphophallus paeoniifolius,Diabetes,Pungent,Hot,Spicy ,"Vepammundaki,Thuvarpi"
Legyam ,Agathiyar ,Pattai ,Terminalia arjuna,Diabetes,Astringent ,Cold ,Spicy ,null
Legyam ,Agathiyar ,Pattai ,Thespesia populnea ,Diabetes,"Bitter, Astringent",Hot,Spicy ,"pulukolli,thuyimaiaaki"
Legyam ,Agathiyar ,Pattai ,Canthium coromandelicum ,Diabetes,null,null,null,null
Legyam ,Agathiyar ,Ilai ,Antiaris toxicaria,Diabetes,null,null,null,null
Legyam ,Agathiyar ,Tuber,Amorphophallus paeoniifolius,Diabetes,Pungent,Hot,Spicy ,"Vepammundaki,Thuvarpi"
Legyam ,Agathiyar ,Jaggaery ,Saccharum officinarum,Diabetes,Sweet,Cold ,Sweet,"Ulalalatri,Alugalatri,Kulirchiyundaki,Sirukalichalundaki,Siruneerperuki,Udaluramaki"
Legyam ,Agathiyar ,fruit,Vitis vinifera ,Diabetes,Sweet,Cold ,Sweet ,tuvarpi
Legyam ,Agathiyar ,seed,Terminalia catappa,Diabetes,null,null,null,null
Shaya legyam ,Agathiyar,,Justicia beddomei,Tuberculosis ,Bitter,Hot,Spicy ,"Esivagatri,Kollaiyagatri,Nutpulukolli,Siruneerperuki"
Shaya legyam ,Agathiyar,,Mimosa rubicaulis,Tuberculosis ,Pungent,Hot,Spicy ,"Kollaiyagatri,Vepamundaki"
Shaya legyam ,Agathiyar,,Solanum trilobatum,Tuberculosis ,"mildBitter, Pungent",Hot,Spicy ,"veppamundaki,kolaiagatri,uramaki"
Shaya legyam ,Agathiyar,,Erythrina variegata,Tuberculosis ,"Bitter , Pungent ",Hot,Spicy ,"Pithamagatri,Kollaiyagatri,Vepgatri,Pulukolli,Siruneerperuki,Malamilaki,Rudhundaki,Palperuki"
Shaya legyam ,Agathiyar,,Jasminum malabaricum,Tuberculosis ,Bitter,hot,pungent ,tuvarpi
Shaya legyam ,Agathiyar,,Ocimum sanctum,Tuberculosis ,pungent ,Hot,Spicy ,"veppamundaki,kolaiagatri,viyarvaiperuki"
