drug,author,herb_part,bot_name,disease_category,taste,potency,ultimate_taste,inherent_action
sanjeevi kuligai ,Agathiyar,,Dryopteris filix-mas,Diab/ TB ,null,null,null,null
sanjeevi kuligai ,Agathiyar,,Aconitum napellus,Diab/ TB ,Bitter,Hot,Spicy ,"viyarvaiperuki,siruneerperuki,muraiveppakatri,thuyaryadaki,thabamagatri,veppadaki,murchaiundaki,thathuveppagatri"
sanjeevi kuligai ,Agathiyar,,Croton tiglium,Diab/ TB ,Bitter,Hot,Spicy ,"neermalampoki,thadipundaki"
sanjeevi kuligai ,Agathiyar,,Terminalia bellirica ,Diab/ TB ,Astringent,Hot,Sweet,"Thuvarpi,kolaiagatri,malamilaki,uramaki"
sanjeevi kuligai ,Agathiyar,,Zingiber officinale,Diab/ TB ,Pungent,Hot,Spicy ,"Agatuvaiyagatri,Pasitheethuntri,Umilneerperuki,Seripundaki,Vepamundaki,Thadipundaki"
sanjeevi kuligai ,Agathiyar,,Piper nigrum,Diab/ TB ,"Bitter, Pungent ",Hot,Spicy ,"karalundaki,agatuvaiagatri,muraiveppagatri,thadipuundaki,veppamundaki,veekankaraichi,vathamadaiki,nachheri"
sanjeevi kuligai ,Agathiyar,,Piper longum,Diab/ TB ,sweet,Cold ,Sweet,null
sanjeevi kuligai ,Agathiyar,Dried rhizome ,Eclipta prostrata,Diab/ TB ,Bitter,Hot,Spicy ,"Pithannerperuki,Uramaki,Udalthetri,Vanthiyundaki,Neermalampoki,Veekamuruki,Eralthetri"
Rasa kuligai ,Agathiyar,Dried rhizome ,Zingiber officinale,Tuberculosis ,Pungent,Hot,Spicy ,"Agatuvaiyagatri,Pasitheethuntri,Umilneerperuki,Seripundaki,Vepamundaki,Thadipundaki"
Rasa kuligai ,Agathiyar,,Piper nigrum,Tuberculosis ,"Bitter, Pungent ",Hot,Spicy ,"karalundaki,agatuvaiagatri,muraiveppagatri,thadipuundaki,veppamundaki,veekankaraichi,vathamadaiki,nachheri"
Rasa kuligai ,Agathiyar,,Piper longum,Tuberculosis ,sweet,Cold ,Sweet,null
Rasa kuligai ,Agathiyar,,Terminalia chebula,Tuberculosis ,Astringent,Hot,Sweet,null
Rasa kuligai ,Agathiyar,,Phyllanthus emblica,Tuberculosis ,"Sour, Astringent, sweet",Cold ,Sweet,null
Rasa kuligai ,Agathiyar,,Terminalia bellirica ,Tuberculosis ,Astringent,Hot,Sweet,"Thuvarpi,kolaiagatri,malamilaki,uramaki"
Rasa kuligai ,Agathiyar,,Carum copticum,Tuberculosis ,Pungent,Hot,Spicy ,"Pasithithundi,Esivagatri,Agatuvaiyagatri,Alugalagatri,Vepammundaki,Uramaki,Umilneerperuki"
Rasa kuligai ,Agathiyar,,Citrus limon,Tuberculosis ,Sour,Hot,Spicy ,Kulirchiyundaki
Pala noi kuligai ,Agathiyar,,Aconitum napellus,Tuberculosis ,Bitter,Hot,Spicy ,"viyarvaiperuki,siruneerperuki,muraiveppakatri,thuyaryadaki,thabamagatri,veppadaki,murchaiundaki,thathuveppagatri"
Pala noi kuligai ,Agathiyar,,Terminalia chebula,Tuberculosis ,Astringent,Hot,Sweet,null
Pala noi kuligai ,Agathiyar,,Phyllanthus emblica,Tuberculosis ,"Sour, Astringent, sweet",Cold ,Sweet,null
Pala noi kuligai ,Agathiyar,,Terminalia bellirica ,Tuberculosis ,Astringent,Hot,Sweet,"Thuvarpi,kolaiagatri,malamilaki,uramaki"
Pala noi kuligai ,Agathiyar,Dried rhizome ,Zingiber officinale,Tuberculosis ,Pungent,Hot,Spicy ,"Agatuvaiyagatri,Pasitheethuntri,Umilneerperuki,Seripundaki,Vepamundaki,Thadipundaki"
Pala noi kuligai ,Agathiyar,,Piper nigrum,Tuberculosis ,"Bitter, Pungent ",Hot,Spicy ,"karalundaki,agatuvaiagatri,muraiveppagatri,thadipuundaki,veppamundaki,veekankaraichi,vathamadaiki,nachheri"
Pala noi kuligai ,Agathiyar,,Piper longum,Tuberculosis ,sweet,Cold ,Sweet,null
Pala noi kuligai ,Agathiyar,,Cedrus deodara,Tuberculosis ,Astringent,Hot,Spicy ,"thuvarpi,veppakatri"
Pala noi kuligai ,Agathiyar,,Croton tiglium,Tuberculosis ,Bitter,Hot,Spicy ,"neermalampoki,thadipundaki"
Pala noi kuligai ,Agathiyar,,Erythrina variegata,Tuberculosis ,"Bitter , Pungent ",Hot,Spicy ,"Pithamagatri,Kollaiyagatri,Vepgatri,Pulukolli,Siruneerperuki,Malamilaki,Rudhundaki,Palperuki"
Pala noi kuligai ,Agathiyar,,Butea monospermea,Tuberculosis ,Astringent ,Hot,Spicy ,null
Arithara parpam ,Agathiyar,,Allium cepa,Tuberculosis ,Bitter,Hot,Spicy ,"veppamundaki,siruneerperuki,kolaiagatri,suthagamundaki,thadipundaki,ullalaratri,kamamperuki"
Arithara parpam ,Agathiyar,,Cissus quadrangularis,Tuberculosis ,Pungent ,Hot,Spicy ,"udarthetri,ruthuundaki,pasithithundi"
Arithara parpam ,Agathiyar,,Portulaca quadrifida,Tuberculosis ,mild Sour,Cold ,Sweet,"Siruneerperuki,Pasitheethuundi"
Naga chendooram ,Agathiyar,oil,Madhuca longifolia,Tuberculosis ,Astringent ,Cold ,Spicy ,"Thuvarpi,Vepammundaki,Uramaki"
Naga chendooram ,Agathiyar,,Nei ,Tuberculosis ,null,null,null,null
Naga chendooram ,Agathiyar,Dried rhizome ,Zingiber officinale,Tuberculosis ,Pungent,Hot,Spicy ,"Agatuvaiyagatri,Pasitheethuntri,Umilneerperuki,Seripundaki,Vepamundaki,Thadipundaki"
Naga chendooram ,Agathiyar,,Carum copticum,Tuberculosis ,Pungent,Hot,Spicy ,"Pasithithundi,Esivagatri,Agatuvaiyagatri,Alugalagatri,Vepammundaki,Uramaki,Umilneerperuki"
Naga chendooram ,Agathiyar,,Curcuma longa ,Tuberculosis ,"Pungent, Bitter",Hot,Spicy ,"manamuti,agatuvaiagatri,veppamundaki,eeralthetri"
Naga chendooram ,Agathiyar,,Achyranthes aspera,Tuberculosis ,"Bitter, Astringent, Pungent",Hot,Spicy ,"thuvarpi,siruneerperuki,udarthetri,muraiveppakatri"
Velleyam chendooram ,Agathiyar,,Zingiber purpureum,Diabetes,null,null,null,null
Velleyam chendooram ,Agathiyar,,Carum copticum,Diabetes,Pungent,Hot,Spicy ,"Pasithithundi,Esivagatri,Agatuvaiyagatri,Alugalagatri,Vepammundaki,Uramaki,Umilneerperuki"
Velleyam chendooram ,Agathiyar,,Aloe barbadensis,Diabetes,null,null,null,null
Sadhilinga kattu ,Agathiyar,,Boswellia serrata,Diabetes,Bitter,Hot,Spicy ,"Pasitheethundi,Viyarvaiperuki,Thuvarpi,Kulirchiyundaki,Siruneerpruki,Rudhuundaki,Kollaiyagatri"
Sadhilinga kattu ,Agathiyar,,Cinnamomum camphora,Diabetes,"Pungent , sweet",Cold ,Sweet,"Vepamundaki,Agatuvaiyagatri,Kamaperuki"
Sadhilinga kattu ,Agathiyar,,Myristica fragrans,Diabetes,"Astringent , Pungent",Hot,Spicy ,"Vekkammundaki,Agatuvaiyagatri,Moorchaiyundaki,Manamooti,Kaamaperuki,Uramaki"
Sadhilinga kattu ,Agathiyar,,Phyllanthus emblica,Diabetes,"Sour, Astringent, sweet",Cold ,Sweet,null
Tippliyathi choornam,Agathiyar,,Piper longum,Tuberculosis ,sweet,Cold ,Sweet,null
Tippliyathi choornam,Agathiyar,,Leucas aspera,Tuberculosis ,"sweet, Pungent",Hot,Spicy ,"malagari,kolaiagatri,veppamundaki,ruthuundaki"
Tippliyathi choornam,Agathiyar,,Alpinia galanga,Tuberculosis ,Pungent,Hot,Spicy ,"Kollaiyakatri,Vepagatri,Pasitheethundi"
Tippliyathi choornam,Agathiyar,,Piper nigrum,Tuberculosis ,"Bitter, Pungent ",Hot,Spicy ,"karalundaki,agatuvaiagatri,muraiveppagatri,thadipuundaki,veppamundaki,veekankaraichi,vathamadaiki,nachheri"
Tippliyathi choornam,Agathiyar,Dried rhizome ,Zingiber officinale,Tuberculosis ,Pungent,Hot,Spicy ,"Agatuvaiyagatri,Pasitheethuntri,Umilneerperuki,Seripundaki,Vepamundaki,Thadipundaki"
Tippliyathi choornam,Agathiyar,,Black pepper,Tuberculosis ,null,null,null,null
Tippliyathi choornam,Agathiyar,,Phyllanthus emblica,Tuberculosis ,"Sour, Astringent, sweet",Cold ,Sweet,null
Tippliyathi choornam,Agathiyar,,Glycyrrhiza glabra,Tuberculosis ,Sweet ,Cold ,Sweet,"Varatchiyakatri,Ullalagatri,kollaiyagatri,Malamilaki,Uramaki"
Tippliyathi choornam,Agathiyar,,Piper longum,Tuberculosis ,sweet,Cold ,Sweet,null
Tippliyathi choornam,Agathiyar,,Cuminum cyminum,Tuberculosis ,"Pungent , Sweet",Cold ,Sweet,"Agatuvaiyagatri,Vepammundaki,Pasitheethundi,Thuvarpi"
Tippliyathi choornam,Agathiyar,,Nigella sativa ,Tuberculosis ,Bitter,Hot,Spicy ,"Agatuvaiyagatri,Siruneerperuki,Rudhuundaki,Palperuki,Pulukolli,Pasitheethundi,Thookunapulukolli,Varatchiyagatri"
Tippliyathi choornam,Agathiyar,,Elettaria cardamomum,Tuberculosis ,Pungent,Hot,Spicy ,"Vepamundaki,Agatuvaiyagatri,Pasitheethundi"
Tippliyathi choornam,Agathiyar,,Clerodendrum serratum,Tuberculosis ,"Bitter , Astringent",Hot,Spicy ,"Vepammundaki,Thathuvepagatri"
Tippliyathi choornam,Agathiyar,,Piper longum ,Tuberculosis ,sweet,Cold ,Sweet,pasithithundi
Tippliyathi choornam,Agathiyar,,Hyoscyamus niger,Tuberculosis ,"Pungent , mildBitter ",Hot,Spicy ,"Urakamundaki,Thathuvepagatri,Thuyaradaki,Esivakatri,Siruneerkuraipadaperuki"
Tippliyathi choornam,Agathiyar,,Withania somnifera,Tuberculosis ,Bitter,Hot,Spicy ,vepagatri
Tippliyathi choornam,Agathiyar,,Piper Cubeba,Tuberculosis ,"Pungent, viruvirupu",Hot,Spicy ,"veppamundaki,agatuvaiagatri,siruneerperuki,kolaiyagatri"
Tippliyathi choornam,Agathiyar,,Curcuma angustifolia,Tuberculosis ,null,null,null,null
Tippliyathi choornam,Agathiyar,,Solanum trilobatum,Tuberculosis ,"mildBitter, Pungent",Hot,Spicy ,"veppamundaki,kolaiagatri,uramaki"
Tippliyathi choornam,Agathiyar,,Terminalia chebula,Tuberculosis ,Astringent,Hot,Sweet,null
Tippliyathi choornam,Agathiyar,,Abies spectabilis,Tuberculosis ,Pungent,Hot,Spicy ,"pasithithundi,agatuvaiagatri,kolaiagatri,uramaki."
Tippliyathi choornam,Agathiyar,,Cinnamomum verum,Tuberculosis ,"pungent , Sweet",Cold ,Sweet,"Vepamundaki,Agatuvaiyagatri,Kamaperuki"
Tippliyathi choornam,Agathiyar,,Cinnamomum tamala,Tuberculosis ,"Pungent , sweet",Cold ,Sweet,"Vepamundaki,Agatuvaiyagatri,Kamaperuki"
Tippliyathi choornam,Agathiyar,,Syzygium aromaticum,Tuberculosis ,"pungent , Viruvirupu",Hot,Spicy ,"Esivagatri,Agatuvaiyagatri,Pasitheethundi"
Tippliyathi choornam,Agathiyar,,Myristica fragrans,Tuberculosis ,"Astringent , Pungent",Hot,Spicy ,"Vekkammundaki,Agatuvaiyagatri,Moorchaiyundaki,Manamooti,Kaamaperuki,Uramaki"
Tippliyathi choornam,Agathiyar,,Myristica fragrans,Tuberculosis ,"Astringent , Pungent",Hot,Spicy ,"Vekkammundaki,Agatuvaiyagatri,Moorchaiyundaki,Manamooti,Kaamaperuki,Uramaki"
Tippliyathi choornam,Agathiyar,Ilai ,Momordica charantia,Tuberculosis ,Bitter,Hot,Spicy ,"pulukoli,parperuki"
Tippliyathi choornam,Agathiyar,,Solanum surattense,Tuberculosis ,Pungent ,Hot,Spicy ,"Kollaiyagatri,Siruneerperuki,Agatuvaiyagatri,perungalichalundaki"
Tippliyathi choornam,Agathiyar,,Eclipta prostrata,Tuberculosis ,Bitter,Hot,Spicy ,"Pithannerperuki,Uramaki,Udalthetri,Vanthiyundaki,Neermalampoki,Veekamuruki,Eralthetri"
Kandankaari legyam ,Agathiyar,,Solanum surattense,Tuberculosis ,Pungent ,Hot,Spicy ,"Kollaiyagatri,Siruneerperuki,Agatuvaiyagatri,perungalichalundaki"
Kandankaari legyam ,Agathiyar,,Solanum trilobatum,Tuberculosis ,"mildBitter, Pungent",Hot,Spicy ,"veppamundaki,kolaiagatri,uramaki"
Kandankaari legyam ,Agathiyar,,Eclipta prostrata,Tuberculosis ,Bitter,Hot,Spicy ,"Pithannerperuki,Uramaki,Udalthetri,Vanthiyundaki,Neermalampoki,Veekamuruki,Eralthetri"
Kandankaari legyam ,Agathiyar,,Hygrophila auriculata,Tuberculosis ,"sweet, mildBitter ",Cold ,Sweet,null
Kandankaari legyam ,Agathiyar,Fruit,Gossypium herbaceum,Tuberculosis ,"Astringent, sweet",Hot,Spicy ,"thuvarpi,uramaki"
Kandankaari legyam ,Agathiyar,,Alternanthera sessilis,Tuberculosis ,sweet,Cold ,Sweet,"udarthetri,kulirchiundaki"
Kandankaari legyam ,Agathiyar,,Bacopa monnieri,Tuberculosis ,"sweet, Astringent ",Cold ,Sweet,"narampuramaki,siruneerperuki,malamilaki"
Kandankaari legyam ,Agathiyar,,Phyla nodiflora,Tuberculosis ,"Bitter, Astringent ",Hot,Spicy ,"ullalaratri,veekankaraichu,siruneerperuki,thuvarpi,kolaiyagatri,uramaki"
Kandankaari legyam ,Agathiyar,,Mukia maderaspatana,Tuberculosis ,"Astringent, Pungent",Hot,Spicy ,"kolaiyagatri,thuvarpi"
Kandankaari legyam ,Agathiyar,,milk ,Tuberculosis ,null,null,null,null
Kandankaari legyam ,Agathiyar,,Ghee,Tuberculosis ,null,null,null,null
Kandankaari legyam ,Agathiyar,,Costus speciosus,Tuberculosis ,"Bitter , Viruvirupu",Hot,Spicy ,"Pasitheethundi,Kollaiyagatri,Uramaki,Vepammundaki,Viyarvaiperuki"
Kandankaari legyam ,Agathiyar,,Alpinia galanga,Tuberculosis ,Pungent,Hot,Spicy ,"Kollaiyakatri,Vepagatri,Pasitheethundi"
Kandankaari legyam ,Agathiyar,Dried rhizome ,Zingiber officinale,Tuberculosis ,Pungent,Hot,Spicy ,"Agatuvaiyagatri,Pasitheethuntri,Umilneerperuki,Seripundaki,Vepamundaki,Thadipundaki"
Kandankaari legyam ,Agathiyar,,Carum copticum,Tuberculosis ,Pungent,Hot,Spicy ,"Pasithithundi,Esivagatri,Agatuvaiyagatri,Alugalagatri,Vepammundaki,Uramaki,Umilneerperuki"
Kandankaari legyam ,Agathiyar,,Piper longum,Tuberculosis ,sweet,Cold ,Sweet,null
Kandankaari legyam ,Agathiyar,,Piper nigrum,Tuberculosis ,"Bitter, Pungent ",Hot,Spicy ,"karalundaki,agatuvaiagatri,muraiveppagatri,thadipuundaki,veppamundaki,veekankaraichi,vathamadaiki,nachheri"
Kandankaari legyam ,Agathiyar,,Terminalia chebula,Tuberculosis ,Astringent,Hot,Sweet,null
Kandankaari legyam ,Agathiyar,,Aconitum heterophyllum,Tuberculosis ,Bitter,Hot,Spicy ,"Pasitheethundi,Thuvarpi,Vepagatri,Anmaiperuki,Uramaki,Muraivepagatri"
Kandankaari legyam ,Agathiyar,,Ferula asafoetida,Tuberculosis ,"Bitter, karakarapu",Hot,Spicy ,"veppamundaki,agatuvaiagatri,isivagatri,kolaiyagatri,malamilaki,pulukoli,siruneerperuki,kamamperuki,ruthuundaki"
Kandankaari legyam ,Agathiyar,,Piper longum,Tuberculosis ,sweet,Cold ,Sweet,null
Kandankaari legyam ,Agathiyar,,Saccharum officinarum,Tuberculosis ,Sweet,Cold ,Sweet,"Ulalalatri,Alugalatri,Kulirchiyundaki,Sirukalichalundaki,Siruneerperuki,Udaluramaki"
Kandankaari legyam ,Agathiyar,,Apis mellifera,Tuberculosis ,null,null,null,null
Kool panda legyam ,Agathiyar,Dried rhizome ,Zingiber officinale,Diabetes,Pungent,Hot,Spicy ,"Agatuvaiyagatri,Pasitheethuntri,Umilneerperuki,Seripundaki,Vepamundaki,Thadipundaki"
Kool panda legyam ,Agathiyar,,Piper nigrum,Diabetes,"Bitter, Pungent ",Hot,Spicy ,"karalundaki,agatuvaiagatri,muraiveppagatri,thadipuundaki,veppamundaki,veekankaraichi,vathamadaiki,nachheri"
Kool panda legyam ,Agathiyar,,Piper longum,Diabetes,sweet,Cold ,Sweet,null
Kool panda legyam ,Agathiyar,,Terminalia chebula,Diabetes,Astringent,Hot,Sweet,null
Kool panda legyam ,Agathiyar,,Phyllanthus emblica,Diabetes,"Sour, Astringent, sweet",Cold ,Sweet,null
Kool panda legyam ,Agathiyar,,Terminalia bellirica ,Diabetes,Astringent,Hot,Sweet,"Thuvarpi,kolaiagatri,malamilaki,uramaki"
Kool panda legyam ,Agathiyar,,Cuminum cyminum,Diabetes,"Pungent , Sweet",Cold ,Sweet,"Agatuvaiyagatri,Vepammundaki,Pasitheethundi,Thuvarpi"
Kool panda legyam ,Agathiyar,,Plumbago zeylanica,Diabetes,"Kasapu , virivirupu",Hot,Spicy ,"Muraivepagatri,Viyarvaiperuki"
Kool panda legyam ,Agathiyar,,Mesua Ferrea ,Diabetes,null,null,null,null
Kool panda legyam ,Agathiyar,,Elettaria cardamomum,Diabetes,Pungent,Hot,Spicy ,"Vepamundaki,Agatuvaiyagatri,Pasitheethundi"
Kool panda legyam ,Agathiyar,,Abies spectabilis,Diabetes,Pungent,Hot,Spicy ,"pasithithundi,agatuvaiagatri,kolaiagatri,uramaki."
Kool panda legyam ,Agathiyar,,Mesua nagassarium,Diabetes,"mildBitter , Astringent",Cold ,Spicy ,"Thuvarpi,Agatuvaiyagatri"
Kool panda legyam ,Agathiyar,,Cassia senna,Diabetes,Bitter(veguttal),Hot,Spicy ,"neermalampoki,malamilaki"
Kool panda legyam ,Agathiyar,,Operculina turpethum,Diabetes,Bitter,Hot,Spicy ,Neermalampoki
Kool panda legyam ,Agathiyar,,Magnifera indica ,Diabetes,Astringent ,Hot,Spicy ,null
Kool panda legyam ,Agathiyar,,Hemidesmus indicus ,Diabetes,"sweet, mildBitter",Cold ,Sweet,"udarthetri,uramaki,ullalaratri,siruneerperuki,viyarvaiperuki"
Kool panda legyam ,Agathiyar,,Syzygium aromaticum,Diabetes,"pungent , Viruvirupu",Hot,Spicy ,"Esivagatri,Agatuvaiyagatri,Pasitheethundi"
Kool panda legyam ,Agathiyar,,Syzygium aromaticum,Diabetes,"pungent , Viruvirupu",Hot,Spicy ,"Esivagatri,Agatuvaiyagatri,Pasitheethundi"
Kool panda legyam ,Agathiyar,,Cyperus rotundus,Diabetes,null,null,null,"Thuvarpi,Vepammundaki,Uramaki,Siruneerperuki,Viyarvaiperuki,Ulalalatri,Rudhuundaki,Puluvagatri"
Kool panda legyam ,Agathiyar,,Cucurbita maxima,Diabetes,sweet,Cold ,Sweet,"siruneerperuki,kulirchiundaki,uramaki"
Kool panda legyam ,Agathiyar,,Piper longum,Diabetes,sweet,Cold ,Sweet,null
Kool panda legyam ,Agathiyar,,milk ,Diabetes,null,null,null,null
Kool panda legyam ,Agathiyar,,Nei ,Diabetes,null,null,null,null
Kool panda legyam ,Agathiyar,,Saccharum officinarum,Diabetes,Sweet,Cold ,Sweet,"Ulalalatri,Alugalatri,Kulirchiyundaki,Sirukalichalundaki,Siruneerperuki,Udaluramaki"
Thalisapathiri choornam ,Agathiyar,,Costus speciosus,Diabetes,"Bitter , Viruvirupu",Hot,Spicy ,"Pasitheethundi,Kollaiyagatri,Uramaki,Vepammundaki,Viyarvaiperuki"
Thalisapathiri choornam ,Agathiyar,,Plectranthus vettiveroides,Diabetes,Bitter,Cold ,Sweet,"kulirchiundaki,pithamadaki"
Thalisapathiri choornam ,Agathiyar,,Elettaria cardamomum,Diabetes,Pungent,Hot,Spicy ,"Vepamundaki,Agatuvaiyagatri,Pasitheethundi"
Thalisapathiri choornam ,Agathiyar,,Anacyclus pyrethrum,Diabetes,Pungent ,Hot,Spicy ,"Vepammundaki,Umilneerperuki,Thadipundaki"
Thalisapathiri choornam ,Agathiyar,,Glycyrrhiza glabra,Diabetes,Sweet ,Cold ,Sweet,"Varatchiyakatri,Ullalagatri,kollaiyagatri,Malamilaki,Uramaki"
Thalisapathiri choornam ,Agathiyar,,Myristica fragrans,Diabetes,"Astringent , Pungent",Hot,Spicy ,"Vekkammundaki,Agatuvaiyagatri,Moorchaiyundaki,Manamooti,Kaamaperuki,Uramaki"
Thalisapathiri choornam ,Agathiyar,,Clerodendrum inerme,Diabetes,Bitter,Hot,Spicy ,"Udalthetri,Vepagatri,Uramaki"
Thalisapathiri choornam ,Agathiyar,,Operculina turpethum,Diabetes,Bitter,Hot,Spicy ,Neermalampoki
Thalisapathiri choornam ,Agathiyar,,Croton tiglium,Diabetes,Bitter,Hot,Spicy ,"neermalampoki,thadipundaki"
Thalisapathiri choornam ,Agathiyar,,Jasminum grandiflorum,Diabetes,Bitter,Hot,Spicy ,thuvarpi
Thalisapathiri choornam ,Agathiyar,,Syzygium aromaticum,Diabetes,"pungent , Viruvirupu",Hot,Spicy ,"Esivagatri,Agatuvaiyagatri,Pasitheethundi"
Thalisapathiri choornam ,Agathiyar,,Clerodendrum serratum,Diabetes,"Bitter , Astringent",Hot,Spicy ,"Vepammundaki,Thathuvepagatri"
Thalisapathiri choornam ,Agathiyar,,Terminalia bellirica ,Diabetes,Astringent,Hot,Sweet,"Thuvarpi,kolaiagatri,malamilaki,uramaki"
Thalisapathiri choornam ,Agathiyar,,Terminalia chebula,Diabetes,Astringent,Hot,Sweet,null
Thalisapathiri choornam ,Agathiyar,,Curcuma angustifolia,Diabetes,null,null,null,null
Thalisapathiri choornam ,Agathiyar,,Oryza sativa,Diabetes,sweet,Cold ,Sweet,null
Thalisapathiri choornam ,Agathiyar,,Piper nigrum,Diabetes,"Bitter, Pungent ",Hot,Spicy ,"karalundaki,agatuvaiagatri,muraiveppagatri,thadipuundaki,veppamundaki,veekankaraichi,vathamadaiki,nachheri"
Thalisapathiri choornam ,Agathiyar,,Cyperus rotundus,Diabetes,null,null,null,"Thuvarpi,Vepammundaki,Uramaki,Siruneerperuki,Viyarvaiperuki,Ulalalatri,Rudhuundaki,Puluvagatri"
Thalisapathiri choornam ,Agathiyar,,Phyllanthus emblica,Diabetes,"Sour, Astringent, sweet",Cold ,Sweet,null
Thalisapathiri choornam ,Agathiyar,,Cinnamomum tamala,Diabetes,"Pungent , sweet",Cold ,Sweet,"Vepamundaki,Agatuvaiyagatri,Kamaperuki"
Thalisapathiri choornam ,Agathiyar,,Piper longum,Diabetes,sweet,Cold ,Sweet,null
Thalisapathiri choornam ,Agathiyar,Ver,Hemidesmus indicus ,Diabetes,"sweet, mildBitter",Cold ,Sweet,"udarthetri,uramaki,ullalaratri,siruneerperuki,viyarvaiperuki"
Thalisapathiri choornam ,Agathiyar,Seed,Gossypium herbaceum,Diabetes,"Astringent, sweet",Hot,Spicy ,"thuvarpi,uramaki"
Thalisapathiri choornam ,Agathiyar,,Cuminum cyminum,Diabetes,"Pungent , Sweet",Cold ,Sweet,"Agatuvaiyagatri,Vepammundaki,Pasitheethundi,Thuvarpi"
Thalisapathiri choornam ,Agathiyar,,Abies spectabilis,Diabetes,Pungent,Hot,Spicy ,"pasithithundi,agatuvaiagatri,kolaiagatri,uramaki."
Thalisapathiri choornam ,Agathiyar,,Saccharum officinarum,Diabetes,Sweet,Cold ,Sweet,"Ulalalatri,Alugalatri,Kulirchiyundaki,Sirukalichalundaki,Siruneerperuki,Udaluramaki"
Vilvathy thaylum ,Agathiyar,Root ,Aegle marmelos,Diabetes,"Astringent, Bitter ",Cold ,Spicy ,"viyarvaiperuki,kamamperuki,veppagatri"
Vilvathy thaylum ,Agathiyar,Oil ,sesamum indicum ,Diabetes,Sweet,hot,Sweet,"Ulalagatri,Varatchiyagatri"
Vilvathy thaylum ,Agathiyar,,Santalum album,Diabetes,"Bitter , mildAstringent ",Cold ,"Sweet, spicy","Udalthetri,Siruneerperuki,Viyarvaiperuki,Vepammundaki,Alugalagatri,Thuvarpi,Kulirchiyundaki"
Vilvathy thaylum ,Agathiyar,,Glycyrrhiza glabra,Diabetes,Sweet ,Cold ,Sweet,"Varatchiyakatri,Ullalagatri,kollaiyagatri,Malamilaki,Uramaki"
Silethuma Choornam ,Therayar ,,Solanum surattense,Tuberculosis ,Pungent ,Hot,Spicy ,"Kollaiyagatri,Siruneerperuki,Agatuvaiyagatri,perungalichalundaki"
Silethuma Choornam ,Therayar ,,Indigofera tinctoria,Tuberculosis ,Bitter,Hot,Spicy ,"Nutpulukolli,muraivepagatri,vepamundaki"
Silethuma Choornam ,Therayar ,,Abies spectabilis,Tuberculosis ,Pungent,Hot,Spicy ,"pasithithundi,agatuvaiagatri,kolaiagatri,uramaki."
Silethuma Choornam ,Therayar ,,Honey ,Tuberculosis ,null,null,null,null
Shayarogathirku choornam ,Therayar ,,Glycyrrhiza glabra,Tuberculosis ,Sweet ,Cold ,Sweet,"Varatchiyakatri,Ullalagatri,kollaiyagatri,Malamilaki,Uramaki"
Shayarogathirku choornam ,Therayar ,,Santalum album,Tuberculosis ,"Bitter , mildAstringent ",Cold ,"Sweet, spicy","Udalthetri,Siruneerperuki,Viyarvaiperuki,Vepammundaki,Alugalagatri,Thuvarpi,Kulirchiyundaki"
Shayarogathirku choornam ,Therayar ,,Costus speciosus,Tuberculosis ,"Bitter , Viruvirupu",Hot,Spicy ,"Pasitheethundi,Kollaiyagatri,Uramaki,Vepammundaki,Viyarvaiperuki"
Shayarogathirku choornam ,Therayar ,,Albizia lebbeck,Tuberculosis ,"Pungent, Bitter",Hot,Spicy ,"thuvarpi,kulirchiundaki"
Shayarogathirku choornam ,Therayar ,,Carum copticum,Tuberculosis ,Pungent,Hot,Spicy ,"Pasithithundi,Esivagatri,Agatuvaiyagatri,Alugalagatri,Vepammundaki,Uramaki,Umilneerperuki"
Shayarogathirku choornam ,Therayar ,,Curcuma zedoaria,Tuberculosis ,"Bitter , Arpapungent",Hot,Spicy ,"Veppamundaki,Agatuvaiyagatri,Kollaiyagatri,Siruneerperuki,Udalthetri,Manamooti"
Shayarogathirku choornam ,Therayar ,,Cuminum cyminum,Tuberculosis ,"Pungent , Sweet",Cold ,Sweet,"Agatuvaiyagatri,Vepammundaki,Pasitheethundi,Thuvarpi"
Shayarogathirku choornam ,Therayar ,,Abies spectabilis,Tuberculosis ,Pungent,Hot,Spicy ,"pasithithundi,agatuvaiagatri,kolaiagatri,uramaki."
Shayarogathirku choornam ,Therayar ,,Nigella sativa ,Tuberculosis ,Bitter,Hot,Spicy ,"Agatuvaiyagatri,Siruneerperuki,Rudhuundaki,Palperuki,Pulukolli,Pasitheethundi,Thookunapulukolli,Varatchiyagatri"
Shayarogathirku choornam ,Therayar ,,Mesua nagassarium,Tuberculosis ,"mildBitter , Astringent",Cold ,Spicy ,"Thuvarpi,Agatuvaiyagatri"
Shayarogathirku choornam ,Therayar ,,Saccharum officinarum,Tuberculosis ,Sweet,Cold ,Sweet,"Ulalalatri,Alugalatri,Kulirchiyundaki,Sirukalichalundaki,Siruneerperuki,Udaluramaki"
Thalaga parpam,Therayar ,,Terminalia chebula,Tuberculosis ,Astringent,Hot,Sweet,null
Thalaga parpam,Therayar ,,Thalagam,Tuberculosis ,null,null,null,null
Velli parpam ,Therayar ,,Elettaria cardamomum,Tuberculosis ,Pungent,Hot,Spicy ,"Vepamundaki,Agatuvaiyagatri,Pasitheethundi"
Velli parpam ,Therayar ,,Barleria cristata ,Tuberculosis ,null,null,null,null
Velli parpam ,Therayar ,,Tephrosia spinosa,Tuberculosis ,null,null,null,null
