,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
36,"frozenset({'myristica fragrans', 'cuminum cyminum'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
37,frozenset({'milk'}),"frozenset({'myristica fragrans', 'cuminum cyminum'})",0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
38,"frozenset({'myristica fragrans', 'cuminum cyminum'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
39,frozenset({'nei'}),"frozenset({'myristica fragrans', 'cuminum cyminum'})",0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
40,"frozenset({'myristica fragrans', 'saccharum officinarum'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
41,frozenset({'milk'}),"frozenset({'myristica fragrans', 'saccharum officinarum'})",0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
42,"frozenset({'myristica fragrans', 'saccharum officinarum'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
43,frozenset({'nei'}),"frozenset({'myristica fragrans', 'saccharum officinarum'})",0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
44,"frozenset({'myristica fragrans', 'plectranthus vettiveroides'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
45,frozenset({'milk'}),"frozenset({'myristica fragrans', 'plectranthus vettiveroides'})",0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
46,"frozenset({'myristica fragrans', 'plectranthus vettiveroides'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
47,frozenset({'nei'}),"frozenset({'myristica fragrans', 'plectranthus vettiveroides'})",0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
48,"frozenset({'myristica fragrans', 'trikatu'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
49,frozenset({'milk'}),"frozenset({'myristica fragrans', 'trikatu'})",0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
50,"frozenset({'myristica fragrans', 'nei'})",frozenset({'milk'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
51,"frozenset({'myristica fragrans', 'milk'})",frozenset({'nei'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
52,frozenset({'nei'}),"frozenset({'myristica fragrans', 'milk'})",0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1.0
