6 51 52 65 68  #SUP: 2
6 51 52 65 85  #SUP: 2
6 51 52 68 85  #SUP: 2
6 51 65 68 85  #SUP: 2
6 52 65 68 85  #SUP: 2
15 46 50 51 52  #SUP: 2
46 50 51 52 54  #SUP: 2
51 52 65 68 85  #SUP: 2
6 15 46 50 51 52  #SUP: 2
6 46 50 51 52 54  #SUP: 2
6 51 52 65 68 85  #SUP: 2
