,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'syzygium aromaticum'}),frozenset({'elettaria cardamomum'}),0.13793103448275862,0.10344827586206896,0.10344827586206896,0.75,7.25,0.089179548156956,3.586206896551724,1.0
1,frozenset({'elettaria cardamomum'}),frozenset({'syzygium aromaticum'}),0.10344827586206896,0.13793103448275862,0.10344827586206896,1.0,7.25,0.089179548156956,inf,0.9615384615384616
2,"frozenset({'triphala', 'trikatu'})",frozenset({'terminalia bellirica'}),0.13793103448275862,0.15517241379310345,0.1206896551724138,0.875,5.638888888888888,0.09928656361474436,6.758620689655173,0.9542857142857144
3,frozenset({'terminalia bellirica'}),"frozenset({'triphala', 'trikatu'})",0.15517241379310345,0.13793103448275862,0.1206896551724138,0.7777777777777778,5.638888888888889,0.09928656361474436,3.8793103448275863,0.9737609329446064
